   1.00000,   -2.87775,    0.15314,    1.00000,    0.04686,    0.50000 
   2.00000,   -2.87842,    0.14051,    0.70711,    0.01786,    0.50000 
   3.00000,   -2.87845,    0.14050,    0.57735,    0.00001,    0.50000 
   4.00000,   -2.87845,    0.14050,    0.50000,    0.00001,    0.50000 
   5.00000,   -2.87845,    0.14050,    0.44721,    0.00000,    0.50000 
   6.00000,   -2.87876,    0.13955,    0.40825,    0.00232,    0.50000 
   7.00000,   -2.87797,    0.13916,    0.37796,    0.00104,    0.50000 
   8.00000,   -2.87683,    0.13921,    0.35355,   -0.00015,    0.50000 
   9.00000,   -2.87796,    0.13906,    0.33333,    0.00046,    0.50000 
  10.00000,   -2.88125,    0.13808,    0.31623,    0.00308,    0.50000 
  11.00000,   -2.87760,    0.13691,    0.30151,    0.00390,    0.50000 
