  88.00000,   -2.86846,    0.02592,    0.01136,    0.02034 
  89.00000,   -2.86894,    0.02574,    0.01124,    0.01591 
  90.00000,   -2.86937,    0.02550,    0.01111,    0.02123 
  91.00000,   -2.87033,    0.02527,    0.01099,    0.02171 
  92.00000,   -2.86819,    0.02511,    0.01087,    0.01442 
  93.00000,   -2.87010,    0.02479,    0.01075,    0.02938 
  94.00000,   -2.86867,    0.02464,    0.01064,    0.01465 
  95.00000,   -2.86825,    0.02449,    0.01053,    0.01430 
  96.00000,   -2.86786,    0.02432,    0.01042,    0.01644 
  97.00000,   -2.86813,    0.02413,    0.01031,    0.01795 
  98.00000,   -2.86757,    0.02390,    0.01020,    0.02232 
  99.00000,   -2.86892,    0.02370,    0.01010,    0.02006 
 100.00000,   -2.86812,    0.02344,    0.01000,    0.02558 
